City, State,  Region, Political Leaning
Norwich-New London, CT,  Northeast, BLUE
Ocala, FL,  South, RED
Ocean City, NJ,  Northeast, BLUE
Odessa, TX,  South, RED
Ogden-Clearfield, UT,  West, RED
Oklahoma City, OK,  South, RED
Olympia-Lacey-Tumwater, WA,  West, BLUE
Omaha-Council Bluffs, NE,  Midwest, RED
Orlando-Kissimmee-Sanford, FL,  South, RED
Oshkosh-Neenah, WI,  Midwest, RED
Owensboro, KY,  South, RED
Oxnard-Thousand Oaks-Ventura, CA,  West, BLUE
Palm Bay-Melbourne-Titusville, FL,  South, RED
Panama City, FL,  South, RED
Parkersburg-Vienna, WV,  South, RED
Pensacola-Ferry Pass-Brent, FL,  South, RED
Peoria, IL,  Midwest, BLUE
Philadelphia-Camden-Wilmington, PArea,  Northeast, RED
Phoenix-Mesa-Chandler, AZ,  West, RED
Pine Bluff, AR,  South, RED
Pittsburgh, PA,  Northeast, RED
Pittsfield, MA,  Northeast, BLUE
Pocatello, ID,  West, RED
Portland-South Portland, ME,  Northeast, BLUE
Portland-Vancouver-Hillsboro, OR,  West, BLUE
Port St. Lucie, FL,  South, RED
Poughkeepsie-Newburgh-Middletown, NY,  Northeast, BLUE
Prescott Valley-Prescott, AZ,  West, RED
Providence-Warwick, RI,  Northeast, BLUE
Provo-Orem, UT,  West, RED
Pueblo, CO,  West, BLUE
Punta Gorda, FL,  South, RED
Racine, WI,  Midwest, RED
Raleigh-Cary, NC,  South, RED
Rapid City, SD,  Midwest, RED
Reading, PA,  Northeast, RED
Redding, CA,  West, BLUE
Reno, NV,  West, BLUE
Richmond, VA,  South, BLUE
Riverside-San Bernardino-Ontario, CA,  West, BLUE
Roanoke, VA,  South, BLUE
Rochester, MN,  Midwest, BLUE
Rochester, NY,  Northeast, BLUE
Rockford, IL,  Midwest, BLUE
Rocky Mount, NC,  South, RED
Rome, GA,  South, RED
Sacramento-Roseville-Folsom, CA,  West, BLUE
Saginaw, MI,  Midwest, RED
St. Cloud, MN,  Midwest, BLUE
St. George, UT,  West, RED
St. Joseph, MO,  Midwest, RED
St. Louis, MO,  Midwest, RED
Salem, OR,  West, BLUE
Salinas, CA,  West, BLUE
Salisbury, MD,  South, BLUE
Salt Lake City, UT,  West, RED
San Angelo, TX,  South, RED
San Antonio-New Braunfels, TX,  South, RED
San Diego-Chula Vista-Carlsbad, CA,  West, BLUE
San Francisco-Oakland-Berkeley, CA,  West, BLUE
San Jose-Sunnyvale-Santa Clara, CA,  West, BLUE
San Luis Obispo-Paso Robles, CA,  West, BLUE
Santa Cruz-Watsonville, CA,  West, BLUE
Santa Fe, NM,  West, BLUE
Santa Maria-Santa Barbara, CA,  West, BLUE
Santa Rosa-Petaluma, CA,  West, BLUE
Savannah, GA,  South, RED
Scranton--Wilkes-Barre, PA,  Northeast, RED
Seattle-Tacoma-Bellevue, WA,  West, BLUE
Sebastian-Vero Beach, FL,  South, RED
Sebring-Avon Park, FL,  South, RED
Sheboygan, WI,  Midwest, RED
Sherman-Denison, TX,  South, RED
Shreveport-Bossier City, LA,  South, RED
Sierra Vista-Douglas, AZ,  West, RED
Sioux City, IA,  Midwest, RED
Sioux Falls, SD,  Midwest, RED
South Bend-Mishawaka, IN,  Midwest, RED
Spartanburg, SC,  South, RED
Spokane-Spokane Valley, WA,  West, BLUE
Springfield, IL,  Midwest, BLUE
Springfield, MA,  Northeast, BLUE
Springfield, MO,  Midwest, RED
Springfield, OH,  Midwest, RED
State College, PA,  Northeast, RED
Staunton, VA,  South, BLUE
Stockton, CA,  West, BLUE
Sumter, SC,  South, RED
Syracuse, NY,  Northeast, BLUE
Tallahassee, FL,  South, RED
Tampa-St. Petersburg-Clearwater, FL,  South, RED
Terre Haute, IN,  Midwest, RED
Texarkana, TX,  South, RED
The Villages, FL,  South, RED
Toledo, OH,  Midwest, RED
Topeka, KS,  Midwest, RED
Trenton-Princeton, NJ,  Northeast, BLUE
Tucson, AZ,  West, RED
Tulsa, OK,  South, RED
Tuscaloosa, AL,  South, RED
Twin Falls, ID,  West, RED
Tyler, TX,  South, RED
Urban Honolulu, HI,  West, BLUE
Utica-Rome, NY,  Northeast, BLUE
Valdosta, GA,  South, RED
Vallejo, CA,  West, BLUE
Victoria, TX,  South, RED
Vineland-Bridgeton, NJ,  Northeast, BLUE
Virginia Beach-Norfolk-Newport News, VA,  South, BLUE
Visalia, CA,  West, BLUE
Waco, TX,  South, RED
Walla Walla, WA,  West, BLUE
Warner Robins, GA,  South, RED
Washington-Arlington-Alexandria, DCrea, , 
Waterloo-Cedar Falls, IA,  Midwest, RED
Watertown-Fort Drum, NY,  Northeast, BLUE
Wausau-Weston, WI,  Midwest, RED
Weirton-Steubenville, WV,  South, RED
Wenatchee, WA,  West, BLUE
Wheeling, WV,  South, RED
Wichita, KS,  Midwest, RED
Wichita Falls, TX,  South, RED
Williamsport, PA,  Northeast, RED
Wilmington, NC,  South, RED
Winchester, VA,  South, BLUE
Winston-Salem, NC,  South, RED
Worcester, MA,  Northeast, BLUE
Yakima, WA,  West, BLUE
York-Hanover, PA,  Northeast, RED
Youngstown-Warren-Boardman, OH,  Midwest, RED
Yuba City, CA,  West, BLUE
Yuma, AZ,  West, RED
Aberdeen, SD,  Midwest, RED
Aberdeen, WA,  West, BLUE
Ada, OK,  South, RED
Adrian, MI,  Midwest, RED
Alamogordo, NM,  West, BLUE
Albemarle, NC,  South, RED
Albert Lea, MN,  Midwest, BLUE
Albertville, AL,  South, RED
Alexander City, AL,  South, RED
Alexandria, MN,  Midwest, BLUE
Alice, TX,  South, RED
Alma, MI,  Midwest, RED
Alpena, MI,  Midwest, RED
Altus, OK,  South, RED
Americus, GA,  South, RED
Amsterdam, NY,  Northeast, BLUE
Andrews, TX,  South, RED
Angola, IN,  Midwest, RED
Arcadia, FL,  South, RED
Ardmore, OK,  South, RED
Arkadelphia, AR,  South, RED
Ashland, OH,  Midwest, RED
Ashtabula, OH,  Midwest, RED
Astoria, OR,  West, BLUE
Atchison, KS,  Midwest, RED
Athens, OH,  Midwest, RED
Athens, TN,  South, RED
Athens, TX,  South, RED
Atmore, AL,  South, RED
Auburn, IN,  Midwest, RED
Auburn, NY,  Northeast, BLUE
Augusta-Waterville, ME,  Northeast, BLUE
Austin, MN,  Midwest, BLUE
Bainbridge, GA,  South, RED
Baraboo, WI,  Midwest, RED
Bardstown, KY,  South, RED
Barre, VT,  Northeast, BLUE
Bartlesville, OK,  South, RED
Batavia, NY,  Northeast, BLUE
Batesville, AR,  South, RED
Bay City, TX,  South, RED
Beatrice, NE,  Midwest, RED
Beaver Dam, WI,  Midwest, RED
Bedford, IN,  Midwest, RED
Beeville, TX,  South, RED
Bellefontaine, OH,  Midwest, RED
Bemidji, MN,  Midwest, BLUE
Bennettsville, SC,  South, RED
Bennington, VT,  Northeast, BLUE
Berlin, NH,  Northeast, BLUE
Big Rapids, MI,  Midwest, RED
Big Spring, TX,  South, RED
Big Stone Gap, VA,  South, BLUE
Blackfoot, ID,  West, RED
Bluefield, WV,  South, RED
Blytheville, AR,  South, RED
Bogalusa, LA,  South, RED
Bonham, TX,  South, RED
Boone, NC,  South, RED
Borger, TX,  South, RED
Bozeman, MT,  West, RED
Bradford, PA,  Northeast, RED
Brainerd, MN,  Midwest, BLUE
Branson, MO,  Midwest, RED
Breckenridge, CO,  West, BLUE
Brenham, TX,  South, RED
Brevard, NC,  South, RED
Brookhaven, MS,  South, RED
Brookings, OR,  West, BLUE
Brookings, SD,  Midwest, RED
Brownsville, TN,  South, RED
Brownwood, TX,  South, RED
Bucyrus-Galion, OH,  Midwest, RED
Burley, ID,  West, RED
Burlington, IA,  Midwest, RED
Butte-Silver Bow, MT,  West, RED
Cadillac, MI,  Midwest, RED
Calhoun, GA,  South, RED
Cambridge, MD,  South, BLUE
Cambridge, OH,  Midwest, RED
Camden, AR,  South, RED
Campbellsville, KY,  South, RED
on City, CO,  West, BLUE
Carlsbad-Artesia, NM,  West, BLUE
Carroll, IA,  Midwest, RED
Cedar City, UT,  West, RED
