Index,  Total Population Change - Decade,  Natural Increase - Decade,  Births - Decade,  Deaths - Decade,  Total - Decade,  International - Decade,  Domestic - Decade,  Total Population Change - Annual,  Natural Increase - Annual,  Births - Annual,  Deaths - Annual,  Total - Annual,  International - Annual,  Domestic - Annual
911, -269, 81, 4732, 4651, -320, 101, -421, -9, -4, 504, 508, -2, 9, -11
912, -1332, -83, 2083, 2166, -1246, 36, -1282, -88, -21, 209, 230, -66, 4, -70
913, 1638, 843, 9303, 8460, 857, 57, 800, 318, -23, 924, 947, 343, -23, 366
914, 15190, 3400, 5527, 2127, 11403, 170, 11233, 2120, 491, 725, 234, 1624, 23, 1601
915, 960, 1809, 5364, 3555, -844, 1690, -2534, 289, 198, 568, 370, 93, 193, -100
916, -80, 542, 4617, 4075, -610, 115, -725, -117, 12, 470, 458, -126, 3, -129
917, 577, 974, 8873, 7899, -334, 689, -1023, 409, 0, 944, 944, 413, 77, 336
918, -1401, 91, 4055, 3964, -1494, 337, -1831, -241, -20, 393, 413, -221, 19, -240
919, 310, 1160, 2304, 1144, -879, 2, -881, 53, 109, 221, 112, -56, -1, -55
920, -977, 519, 4348, 3829, -1502, 521, -2023, -251, 16, 456, 440, -267, 25, -292
921, -1751, 485, 7627, 7142, -2226, 220, -2446, 45, 74, 798, 724, -25, 17, -42
922, -165, 852, 3117, 2265, -1056, 295, -1351, -181, 17, 290, 273, -199, 29, -228
923, 1194, 3917, 14085, 10168, -2673, 877, -3550, -80, 296, 1446, 1150, -377, 47, -424
924, 251, 1745, 3415, 1670, -1524, 1377, -2901, -115, 196, 382, 186, -312, 87, -399
925, 376, 404, 2489, 2085, -10, 57, -67, 55, 54, 261, 207, 3, 1, 2
926, 129, 515, 9519, 9004, -326, 541, -867, 84, 31, 1002, 971, 58, 43, 15
927, 161, 1654, 2501, 847, -1501, 15, -1516, 30, 104, 214, 110, -75, -9, -66
