Geographical Area, Total Population Change - Decade, Natural Increase - Decade, Births - Decade, Deaths - Decade, Total - Decade, International - Decade, Domestic - Decade, Total Population Change - Annual, Natural Increase - Annual, Births - Annual, Deaths - Annual, Total - Annual, International - Annual, Domestic - Annual
".Duluth, MN-WI Metro Area","-1,904","-1,025","26,864","27,889",-609,"1,537","-2,146",-528,-270,"2,746","3,016",-243,76,-319
".Durham-Chapel Hill, NC Metro Area","80,174","25,573","65,747","40,174","54,198","19,005","35,193","6,866","2,122","7,029","4,907","4,734","1,848","2,886"
".East Stroudsburg, PA Metro Area",430,72,"13,202","13,130",344,"2,408","-2,064",977,-73,"1,545","1,618","1,064",153,911
".Eau Claire, WI Metro Area","7,921","4,752","17,465","12,713","3,273","1,041","2,232",840,476,"1,808","1,332",370,95,275
".El Centro, CA Metro Area","6,691","18,410","27,894","9,484","-11,851","2,063","-13,914",-308,"1,649","2,728","1,079","-1,967",33,"-2,000"
".Elizabethtown-Fort Knox, KY Metro Area","5,597","6,204","18,197","11,993",-784,"2,157","-2,941",727,506,"1,888","1,382",227,-76,303
".Elkhart-Goshen, IN Metro Area","8,772","13,069","28,381","15,312","-4,216",985,"-5,201",724,"1,385","3,054","1,669",-661,209,-870
".Elmira, NY Metro Area","-5,391",94,"8,887","8,793","-5,499",356,"-5,855",-479,-84,859,943,-394,17,-411
".El Paso, TX Metro Area","40,015","74,054","121,572","47,518","-34,305","18,153","-52,458","2,511","6,085","11,654","5,569","-3,575",225,"-3,800"
".Enid, OK Metro Area",476,"2,377","8,684","6,307","-1,882","1,641","-3,523",-39,243,864,621,-283,147,-430
".Erie, PA Metro Area","-10,856","2,456","28,804","26,348","-13,316","5,680","-18,996","-1,816",54,"2,855","2,801","-1,872",525,"-2,397"
".Eugene-Springfield, OR Metro Area","30,362",588,"32,589","32,001","29,917","5,052","24,865","3,518",-206,"3,425","3,631","3,717",230,"3,487"
".Evansville, IN-KY Metro Area","3,538","4,334","34,097","29,763",-558,"1,942","-2,500",426,161,"3,448","3,287",279,274,5
".Fairbanks, AK Metro Area",-736,"11,008","15,436","4,428","-11,928","2,339","-14,267","-1,716","1,027","1,533",506,"-2,747",16,"-2,763"
".Fargo, ND-MN Metro Area","37,368","16,854","30,570","13,716","20,299","6,674","13,625","1,834","1,793","3,362","1,569",48,516,-468
".Farmington, NM Metro Area","-6,087","6,996","16,172","9,176","-13,162",109,"-13,271","-1,541",301,"1,410","1,109","-1,849",-12,"-1,837"
".Fayetteville, NC Metro Area","45,708","42,745","77,225","34,480","1,623","14,235","-12,612","4,258","3,985","8,096","4,111",271,363,-92
".Fayetteville-Springdale-Rogers, AR Metro Area","94,783","32,777","64,207","31,430","61,505","10,695","50,810","9,665","3,594","7,154","3,560","6,043",266,"5,777"
".Flagstaff, AZ Metro Area","9,050","7,792","15,157","7,365","1,238","1,311",-73,953,612,"1,513",901,338,25,313
".Flint, MI Metro Area","-19,974","4,066","45,082","41,016","-24,248","1,840","-26,088",-875,43,"4,600","4,557",-909,117,"-1,026"
".Florence, SC Metro Area",-665,"1,762","23,172","21,410","-2,246",819,"-3,065",-125,-47,"2,351","2,398",-69,128,-197
".Florence-Muscle Shoals, AL Metro Area",833,"-2,523","14,204","16,727","3,481",767,"2,714",362,-349,"1,506","1,855",719,108,611
".Fond du Lac, WI Metro Area","1,780","1,399","10,048","8,649",432,"1,265",-833,402,157,"1,068",911,253,74,179
".Fort Collins, CO Metro Area","57,269","11,605","31,320","19,715","45,121","4,487","40,634","6,239","1,042","3,337","2,295","5,175",537,"4,638"
".Fort Smith, AR-OK Metro Area","2,128","5,187","29,653","24,466","-2,941","1,267","-4,208",70,559,"3,228","2,669",-482,-24,-458
".Fort Wayne, IN Metro Area","24,637","20,290","51,797","31,507","4,659","5,989","-1,330","4,137","2,090","5,564","3,474","2,059",759,"1,300"
".Fresno, CA Metro Area","68,594","80,755","142,608","61,853","-11,772","9,639","-21,411","7,151","7,039","14,506","7,467",131,479,-348
".Gadsden, AL Metro Area","-2,161","-1,921","10,979","12,900",-142,273,-415,-343,-312,"1,175","1,487",-25,37,-62
".Gainesville, FL Metro Area","24,052","7,889","31,837","23,948","16,211","10,747","5,464","1,195",528,"3,366","2,838",661,800,-139
".Gainesville, GA Metro Area","24,717","10,762","23,794","13,032","13,974","1,471","12,503","2,903",986,"2,586","1,600","1,903",73,"1,830"
".Gettysburg, PA Metro Area","1,581",189,"9,396","9,207","1,470",544,926,-53,-53,960,"1,013",4,54,-50
".Glens Falls, NY Metro Area","-3,798","-1,334","10,739","12,073","-2,387",350,"-2,737",-341,-281,"1,074","1,355",-53,30,-83
".Goldsboro, NC Metro Area",470,"4,411","15,461","11,050","-3,928","2,638","-6,566",-106,224,"1,608","1,384",-328,214,-542
".Grand Forks, ND-MN Metro Area","2,351","5,350","13,041","7,691","-3,007","1,946","-4,953",-951,525,"1,395",870,"-1,481",96,"-1,577"
".Grand Island, NE Metro Area","2,809","4,006","10,352","6,346","-1,166","2,408","-3,574",77,448,"1,111",663,-370,208,-578
".Grand Junction, CO Metro Area","7,477","3,078","16,342","13,264","4,431",-173,"4,604","1,259",116,"1,631","1,515","1,137",-13,"1,150"
".Grand Rapids-Kentwood, MI Metro Area","83,707","55,687","125,556","69,869","28,532","17,629","10,903","6,000","5,392","13,339","7,947",647,"1,316",-669
".Grants Pass, OR Metro Area","4,768","-3,219","7,810","11,029","7,981",-140,"8,121",337,-324,866,"1,190",667,-26,693
".Great Falls, MT Metro Area",40,"2,825","10,524","7,699","-2,753",759,"-3,512",-322,269,"1,054",785,-589,6,-595
".Greeley, CO Metro Area","71,665","22,092","37,587","15,495","49,035","2,484","46,551","9,677","2,504","4,360","1,856","7,141",363,"6,778"
".Green Bay, WI Metro Area","16,665","13,646","36,179","22,533","3,288","3,355",-67,"1,522","1,359","3,759","2,400",171,178,-7
".Greensboro-High Point, NC Metro Area","47,928","17,401","79,920","62,519","31,027","12,830","18,197","5,378","1,171","8,520","7,349","4,239","1,182","3,057"
".Greenville, NC Metro Area","12,566","7,944","19,462","11,518","4,658","1,371","3,287","1,167",621,"2,053","1,432",545,101,444
".Greenville-Anderson, SC Metro Area","96,446","21,138","96,861","75,723","75,133","13,917","61,216","13,449","1,764","10,516","8,752","11,656","1,825","9,831"
".Gulfport-Biloxi, MS Metro Area","29,074","10,483","46,703","36,220","18,654","5,595","13,059","2,979",758,"4,842","4,084","2,219",173,"2,046"
".Hagerstown-Martinsburg, MD-WV Metro Area","18,958","4,626","29,793","25,167","14,324","1,742","12,582","2,382",279,"3,174","2,895","2,108",14,"2,094"
".Hammond, LA Metro Area","13,649","6,635","17,863","11,228","7,015",508,"6,507",921,570,"1,953","1,383",351,1,350
".Hanford-Corcoran, CA Metro Area",-34,"14,271","21,880","7,609","-14,649",695,"-15,344","1,558","1,434","2,321",887,123,-74,197
".Harrisburg-Carlisle, PA Metro Area","28,497","11,803","60,274","48,471","17,028","14,620","2,408","3,792","1,071","6,430","5,359","2,749","1,084","1,665"
".Harrisonburg, VA Metro Area","9,743","4,037","13,181","9,144","5,728","4,229","1,499",215,380,"1,435","1,055",-169,257,-426
".Hartford-East Hartford-Middletown, CT Metro Area","-7,594","13,025","110,209","97,184","-20,759","47,395","-68,154","-1,262",633,"11,508","10,875","-1,910","4,140","-6,050"
".Hattiesburg, MS Metro Area","6,431","6,332","20,737","14,405",32,"1,356","-1,324",557,609,"2,158","1,549",-54,190,-244
".Hickory-Lenoir-Morganton, NC Metro Area","3,917","-1,716","34,817","36,533","5,910","2,924","2,986","1,262",-424,"3,691","4,115","1,703",356,"1,347"
".Hilton Head Island-Bluffton, SC Metro Area","35,185","5,746","21,847","16,101","29,093","3,536","25,557","4,172",266,"2,289","2,023","3,884",244,"3,640"
".Hinesville, GA Metro Area","3,065","11,489","15,546","4,057","-8,903","2,563","-11,466","1,297","1,134","1,631",497,165,-44,209
".Homosassa Springs, FL Metro Area","8,427","-13,385","9,689","23,074","21,756",331,"21,425","1,975","-1,640","1,066","2,706","3,601",-18,"3,619"
".Hot Springs, AR Metro Area","3,387","-2,502","10,186","12,688","5,924",-10,"5,934",420,-276,"1,071","1,347",699,-27,726
".Houma-Thibodaux, LA Metro Area",-110,"8,581","26,337","17,756","-8,622","1,553","-10,175","-1,069",591,"2,623","2,032","-1,659",49,"-1,708"
".Houston-The Woodlands-Sugar Land, TX Metro Area","1,145,654","540,027","889,610","349,583","602,610","333,553","269,057","89,994","52,016","95,261","43,245","37,893","30,746","7,147"
".Huntington-Ashland, WV-KY-OH Metro Area","-15,026","-3,285","37,621","40,906","-11,546",359,"-11,905","-3,196",-808,"3,608","4,416","-2,388",-70,"-2,318"
".Huntsville, AL Metro Area","54,231","13,388","47,880","34,492","40,771","4,833","35,938","8,643","1,087","5,256","4,169","7,528",262,"7,266"
".Idaho Falls, ID Metro Area","18,199","13,197","22,463","9,266","5,038",222,"4,816","3,094","1,350","2,402","1,052","1,741",-34,"1,775"
".Indianapolis-Carmel-Anderson, IN Metro Area","186,462","97,491","246,099","148,608","89,578","43,502","46,076","22,169","9,622","26,300","16,678","12,590","6,394","6,196"
".Iowa City, IA Metro Area","20,519","10,606","19,234","8,628","9,929","7,862","2,067",498,"1,015","2,005",990,-520,477,-997
".Ithaca, NY Metro Area",588,"1,506","7,735","6,229",-981,"6,686","-7,667",-239,106,742,636,-350,447,-797
".Jackson, MI Metro Area","-1,723","1,215","16,506","15,291","-2,843",698,"-3,541",-56,120,"1,743","1,623",-170,30,-200
".Jackson, MS Metro Area","7,691","21,259","70,872","49,613","-13,741","4,965","-18,706","-2,570","1,480","7,091","5,611","-4,062",457,"-4,519"
".Jackson, TN Metro Area","-1,067","1,711","20,312","18,601","-2,675",730,"-3,405",329,123,"2,101","1,978",214,92,122
".Jacksonville, FL Metro Area","213,920","52,866","167,526","114,660","160,572","34,089","126,483","26,851","4,503","18,592","14,089","22,302","2,251","20,051"
".Jacksonville, NC Metro Area","20,137","29,255","38,784","9,529","-10,285","7,624","-17,909","1,023","2,857","3,951","1,094","-1,815",-2,"-1,813"
".Janesville-Beloit, WI Metro Area","3,029","4,270","17,881","13,611","-1,131",397,"-1,528",480,406,"1,877","1,471",81,39,42
".Jefferson City, MO Metro Area","1,415","4,291","16,332","12,041","-2,813",962,"-3,775",-277,264,"1,680","1,416",-540,88,-628
".Johnson City, TN Metro Area","4,892","-3,314","18,323","21,637","8,285","1,307","6,978",749,-537,"1,869","2,406","1,291",200,"1,091"
".Johnstown, PA Metro Area","-13,503","-4,708","12,304","17,012","-8,837",384,"-9,221","-1,257",-509,"1,218","1,727",-745,29,-774
