Geographical Area, Total Population Change - Decade, Natural Increase - Decade, Births - Decade, Deaths - Decade, Total - Decade, International - Decade, Domestic - Decade, Total Population Change - Annual, Natural Increase - Annual, Births - Annual, Deaths - Annual, Total - Annual, International - Annual, Domestic - Annual
".Terre Haute, IN Metro Area","-3,407",978,"20,086","19,108","-4,333","1,587","-5,920",-359,39,"2,079","2,040",-396,215,-611
".Texarkana, TX-AR Metro Area",-433,"2,625","17,822","15,197","-2,981",158,"-3,139",-586,80,"1,773","1,693",-662,-14,-648
".The Villages, FL Metro Area","39,000","-10,573","4,311","14,884","48,895",-134,"49,029","3,701","-1,539",478,"2,017","5,212",-57,"5,269"
".Toledo, OH Metro Area","-9,619","12,412","71,848","59,436","-22,094","5,646","-27,740","-1,273",804,"7,428","6,624","-2,069",270,"-2,339"
".Topeka, KS Metro Area","-1,891","4,737","26,664","21,927","-6,550","1,618","-8,168",-297,250,"2,590","2,340",-541,132,-673
".Trenton-Princeton, NJ Metro Area",-55,"11,634","38,444","26,810","-11,831","16,366","-28,197",-758,"1,034","4,021","2,987","-1,815","1,182","-2,997"
".Tucson, AZ Metro Area","67,016","21,542","107,047","85,505","46,336","22,079","24,257","10,725",692,"10,891","10,199","10,005","1,204","8,801"
".Tulsa, OK Metro Area","61,103","35,371","121,193","85,822","26,210","14,415","11,795","5,491","2,558","12,440","9,882","2,972","1,257","1,715"
".Tuscaloosa, AL Metro Area","12,833","6,871","27,624","20,753","5,911","2,721","3,190",790,541,"2,922","2,381",256,232,24
".Twin Falls, ID Metro Area","11,694","6,569","14,844","8,275","5,159","2,539","2,620","1,195",632,"1,562",930,568,158,410
".Tyler, TX Metro Area","23,026","9,252","28,191","18,939","13,822","2,131","11,691","3,002",792,"2,969","2,177","2,212",92,"2,120"
".Urban Honolulu, HI Metro Area","21,357","50,711","121,272","70,561","-28,785","46,111","-74,896","-5,295","3,418","12,013","8,595","-8,691","3,736","-12,427"
".Utica-Rome, NY Metro Area","-9,339",31,"29,641","29,610","-9,340","5,250","-14,590","-1,197",-107,"3,042","3,149","-1,090",265,"-1,355"
".Valdosta, GA Metro Area","7,630","7,791","18,666","10,875",-341,"2,056","-2,397","1,149",616,"1,934","1,318",536,127,409
".Vallejo, CA Metro Area","34,300","18,081","47,682","29,601","16,528","6,691","9,837","1,918","1,377","5,088","3,711",557,280,277
".Victoria, TX Metro Area","5,739","4,340","12,404","8,064","1,389",546,843,276,350,"1,247",897,-71,24,-95
".Vineland-Bridgeton, NJ Metro Area","-7,100","4,541","18,338","13,797","-11,725","3,190","-14,915","-1,108",322,"1,757","1,435","-1,435",74,"-1,509"
".Virginia Beach-Norfolk-Newport News, VA-NC Metro Area","54,946","78,552","209,617","131,065","-23,410","36,319","-59,729","5,188","6,309","21,589","15,280","-1,032","1,165","-2,197"
".Visalia, CA Metro Area","24,013","41,985","69,462","27,477","-17,932",-636,"-17,296","1,606","3,823","7,032","3,209","-2,230",-270,"-1,960"
".Waco, TX Metro Area","21,154","12,895","33,987","21,092","8,384","2,630","5,754","2,493","1,249","3,646","2,397","1,244",161,"1,083"
".Walla Walla, WA Metro Area","1,979",842,"6,100","5,258","1,163",136,"1,027",145,35,610,575,113,-15,128
".Warner Robins, GA Metro Area","17,783","8,835","21,567","12,732","8,970","2,828","6,142","2,523",730,"2,297","1,567","1,799",152,"1,647"
".Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","630,799","428,108","743,898","315,790","200,650","326,958","-126,308","32,646","39,384","78,147","38,763","-6,771","22,977","-29,748"
"..Frederick-Gaithersburg-Rockville, MD Metro Division","105,548","75,081","145,718","70,637","30,709","78,342","-47,633","6,814","6,901","15,104","8,203",-119,"6,024","-6,143"
"..Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Division","525,251","353,027","598,180","245,153","169,941","248,616","-78,675","25,832","32,483","63,043","30,560","-6,652","16,953","-23,605"
".Waterloo-Cedar Falls, IA Metro Area",703,"5,008","19,377","14,369","-4,194","2,815","-7,009",-414,491,"2,055","1,564",-899,211,"-1,110"
".Watertown-Fort Drum, NY Metro Area","-6,398","10,875","19,170","8,295","-17,420","3,033","-20,453","-2,032",994,"1,913",919,"-3,026",-45,"-2,981"
".Wausau-Weston, WI Metro Area",481,"3,423","17,162","13,739","-2,856",612,"-3,468",191,337,"1,744","1,407",-142,66,-208
".Weirton-Steubenville, WV-OH Metro Area","-8,381","-5,260","10,356","15,616","-3,005",-176,"-2,829",-908,-580,"1,079","1,659",-322,-50,-272
".Wenatchee, WA Metro Area","9,742","4,326","13,383","9,057","5,489",666,"4,823","1,128",381,"1,393","1,012",750,48,702
".Wheeling, WV-OH Metro Area","-9,009","-4,101","13,249","17,350","-4,802",-57,"-4,745","-1,111",-545,"1,285","1,830",-560,-27,-533
".Wichita, KS Metro Area","17,157","29,769","81,503","51,734","-12,358","9,096","-21,454","2,699","2,325","8,057","5,732",397,688,-291
".Wichita Falls, TX Metro Area",-220,"2,932","17,382","14,450","-3,110","3,283","-6,393",299,101,"1,730","1,629",203,167,36
".Williamsport, PA Metro Area","-2,803",-325,"11,394","11,719","-2,439",602,"-3,041",-567,-187,"1,133","1,320",-379,65,-444
".Wilmington, NC Metro Area","42,654","4,489","26,461","21,972","37,745","1,521","36,224","3,260",254,"2,844","2,590","2,996",124,"2,872"
".Winchester, VA-WV Metro Area","12,114","3,266","14,270","11,004","8,878","1,826","7,052","1,074",221,"1,492","1,271",856,75,781
".Winston-Salem, NC Metro Area","35,505","10,063","68,473","58,410","25,813","4,664","21,149","4,879",729,"7,271","6,542","4,166",358,"3,808"
".Worcester, MA-CT Metro Area","30,641","16,269","90,296","74,027","14,793","36,326","-21,533","1,291","1,162","9,575","8,413",145,"2,272","-2,127"
".Yakima, WA Metro Area","7,633","19,134","37,137","18,003","-11,510",-269,"-11,241",311,"1,653","3,746","2,093","-1,340",-137,"-1,203"
".York-Hanover, PA Metro Area","14,043","8,584","45,524","36,940","5,907","5,255",652,"1,211",747,"4,868","4,121",491,200,291
".Youngstown-Warren-Boardman, OH-PA Metro Area","-29,701","-12,813","51,745","64,558","-16,642","2,675","-19,317","-2,145","-1,392","5,450","6,842",-726,25,-751
".Yuba City, CA Metro Area","8,741","10,299","23,119","12,820","-1,566","2,723","-4,289","1,734",999,"2,416","1,417",737,100,637
".Yuma, AZ Metro Area","18,037","14,964","28,472","13,508","2,839","7,552","-4,713","2,175","1,278","2,991","1,713",903,546,357
1 Total population change includes a residual. This residual represents the change in population that cannot be attributed to any specific demographic component. See Population Estimates Terms and Definitions at http://www.census.gov/programs-surveys/popest/about/glossary.html.,,,,,,,,,,,,,,
"2 Net international migration for the United States includes the international migration of both native and foreign-born populations.  Specifically, it includes: (a) the net international migration of the foreign born, (b) the net migration between the United States and Puerto Rico, (c) the net migration of natives to and from the United States, and (d) the net movement of the Armed Forces population between the United States and overseas.  Net international migration for Puerto Rico includes the migration of native and foreign-born populations between the United States and Puerto Rico.",,,,,,,,,,,,,,
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates series except statistical area delineations are as of January 1, 2019. The Office of Management and Budget's statistical area delineations for metropolitan, micropolitan, and combined statistical areas, as well as metropolitan divisions, are those issued by that agency in September 2018. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. ",,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,,
"Estimates of the Components of Resident Population Change for Metropolitan Statistical Areas in the United States: April 1, 2010 to July 1, 2019 (CBSA-MET-EST2019-COMP)",,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,,
Release Date: March 2020,,,,,,,,,,,,,,
