City,Tech_2010
"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",1602251
"Harrisonburg, VA (Metropolitan Statistical Area) *",198191
"Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",3754336
"Hattiesburg, MS (Metropolitan Statistical Area)",(D)
"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",107509
"Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",114981
"Hinesville, GA (Metropolitan Statistical Area)",23024
"Homosassa Springs, FL (Metropolitan Statistical Area)",66353
"Hot Springs, AR (Metropolitan Statistical Area)",47517
"Houma-Thibodaux, LA (Metropolitan Statistical Area)",104553
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",(D)
"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",251567
"Huntsville, AL (Metropolitan Statistical Area)",358482
"Idaho Falls, ID (Metropolitan Statistical Area)",(D)
"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",(D)
"Iowa City, IA (Metropolitan Statistical Area)",434526
"Ithaca, NY (Metropolitan Statistical Area)",77366
"Jackson, MI (Metropolitan Statistical Area)",46629
"Jackson, MS (Metropolitan Statistical Area)",(D)
"Jackson, TN (Metropolitan Statistical Area)",194358
"Jacksonville, FL (Metropolitan Statistical Area)",2450943
"Jacksonville, NC (Metropolitan Statistical Area)",66286
"Janesville-Beloit, WI (Metropolitan Statistical Area)",148954
"Jefferson City, MO (Metropolitan Statistical Area)",208116
"Johnson City, TN (Metropolitan Statistical Area)",330412
"Johnstown, PA (Metropolitan Statistical Area)",147531
"Jonesboro, AR (Metropolitan Statistical Area)",80039
"Joplin, MO (Metropolitan Statistical Area)",144497
"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",109113
"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",179867
"Kankakee, IL (Metropolitan Statistical Area)",64739
"Kansas City, MO-KS (Metropolitan Statistical Area)",6111920
"Kennewick-Richland, WA (Metropolitan Statistical Area)",133997
"Killeen-Temple, TX (Metropolitan Statistical Area)",521849
"Kingsport-Bristol, TN-VA (Metropolitan Statistical Area) *",(D)
"Kingston, NY (Metropolitan Statistical Area)",161135
"Knoxville, TN (Metropolitan Statistical Area)",(D)
"Kokomo, IN (Metropolitan Statistical Area)",32579
"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",169403
"Lafayette, LA (Metropolitan Statistical Area)",456327
"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",(D)
"Lake Charles, LA (Metropolitan Statistical Area)",(D)
"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",101820
"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",299270
"Lancaster, PA (Metropolitan Statistical Area)",969196
"Lansing-East Lansing, MI (Metropolitan Statistical Area)",657907
"Laredo, TX (Metropolitan Statistical Area)",89139
"Las Cruces, NM (Metropolitan Statistical Area)",288030
