"","City","State","Region","Political_Leaning","Population_Change_Decade","Natural_Increase_Decade","Births_Decade","Deaths_Decade","Total_Decade","International_Decade","Domestic_Decade","Population_Change_Annual","Natural_Increase_Annual","Births_Annual","Deaths_Annual","Total._Annual","International_Annual","Domestic_Annual","City_data","GDP_2010","GDP_2018","Population_2010","Population_2018","Decade_GDP_Change","Population_Percent_Change","GDP_Percent_Change"
"337"," Springfield"," OH","  Midwest"," RED",-4256,-1117,14729,15846,-3061,459,-3520,-445,-107,1554,1661,-332,23,-355,"Springfield, OH (Metropolitan Statistical Area)",4074170000,4414081000,138274,134528,339911000,0.972908862114353,1.08343073558541
"338"," State College"," PA","  Northeast"," RED",8380,2310,11320,9010,6069,9416,-3347,-216,42,1147,1105,-266,835,-1101,"State College, PA (Metropolitan Statistical Area)",6903491000,7929168000,154230,162601,1025677000,1.05427608117746,1.14857367091519
"339"," Staunton"," VA","  South"," BLUE",4624,-682,11545,12227,5343,1059,4284,492,-127,1229,1356,623,99,524,"Staunton, VA (Metropolitan Statistical Area) *",4897494000,4902654000,118314,122628,5160000,1.03646229524824,1.00105360006567
"340"," Stockton"," CA","  West"," BLUE",76842,44384,93390,49006,32797,10082,22715,9657,4137,9975,5838,5529,687,4842,"Stockton, CA (Metropolitan Statistical Area)",23232499000,29257580000,687127,752491,6025081000,1.0951265195517,1.25933848097874
"341"," Sumter"," SC","  South"," RED",-1968,3100,16598,13498,-5029,1120,-6149,315,162,1645,1483,161,88,73,"Sumter, SC (Metropolitan Statistical Area)",4049636000,4324516000,142555,140151,274880000,0.983136333345025,1.06787770555181
"342"," Syracuse"," NY","  Northeast"," BLUE",-14031,11737,66531,54794,-25820,13114,-38934,-1688,895,6827,5932,-2588,885,-3473,"Syracuse, NY (Metropolitan Statistical Area)",34004022000,36718553000,663110,650281,2714531000,0.980653285276953,1.07982970367447
"343"," Tallahassee"," FL","  South"," RED",18456,12475,37381,24906,5788,6407,-619,2909,1066,3955,2889,1848,465,1383,"Tallahassee, FL (Metropolitan Statistical Area)",15049378000,16287867000,369345,384318,1238489000,1.04053933314381,1.0822950290703
"344"," Tampa"," FL","  South"," RED",411346,12252,294083,281831,397215,104814,292401,40182,-1691,32154,33845,41798,7171,34627,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",118486088000,141904761000,2788366,3154649,23418673000,1.13136116277418,1.19764913666489
"345"," Terre Haute"," IN","  Midwest"," RED",-3407,978,20086,19108,-4333,1587,-5920,-359,39,2079,2040,-396,215,-611,"Terre Haute, IN (Metropolitan Statistical Area)",7110330000,7141790000,189523,186726,31460000,0.985241896761871,1.004424548509
"346"," Texarkana"," TX","  South"," RED",-433,2625,17822,15197,-2981,158,-3139,-586,80,1773,1693,-662,-14,-648,"Texarkana, TX-AR (Metropolitan Statistical Area)",5321746000,5180307000,149332,149347,-141439000,1.00010044732542,0.973422444438348
"347"," The Villages"," FL","  South"," RED",39000,-10573,4311,14884,48895,-134,49029,3701,-1539,478,2017,5212,-57,5269,"The Villages, FL (Metropolitan Statistical Area)",1775497000,2484841000,94278,128719,709344000,1.365313222597,1.39951855733916
"348"," Toledo"," OH","  Midwest"," RED",-9619,12412,71848,59436,-22094,5646,-27740,-1273,804,7428,6624,-2069,270,-2339,"Toledo, OH (Metropolitan Statistical Area)",31341991000,34845826000,651372,643089,3503835000,0.987283764116357,1.11179363174471
"349"," Topeka"," KS","  Midwest"," RED",-1891,4737,26664,21927,-6550,1618,-8168,-297,250,2590,2340,-541,132,-673,"Topeka, KS (Metropolitan Statistical Area)",9511910000,10065715000,234266,232266,553805000,0.99146269625127,1.05822227081627
"350"," Trenton"," NJ","  Northeast"," BLUE",-55,11634,38444,26810,-11831,16366,-28197,-758,1034,4021,2987,-1815,1182,-2997,"Trenton-Princeton, NJ (Metropolitan Statistical Area)",26606523000,28459499000,367713,368188,1852976000,1.00129176830844,1.0696436734706
"351"," Tucson"," AZ","  West"," RED",67016,21542,107047,85505,46336,22079,24257,10725,692,10891,10199,10005,1204,8801,"Tucson, AZ (Metropolitan Statistical Area)",36396420000,40011352000,981620,1036554,3614932000,1.05596259244922,1.09932108707395
"352"," Tulsa"," OK","  South"," RED",61103,35371,121193,85822,26210,14415,11795,5491,2558,12440,9882,2972,1257,1715,"Tulsa, OK (Metropolitan Statistical Area)",42694048000,53448340000,939833,993135,10754292000,1.05671433116309,1.25189206701599
"353"," Tuscaloosa"," AL","  South"," RED",12833,6871,27624,20753,5911,2721,3190,790,541,2922,2381,256,232,24,"Tuscaloosa, AL (Metropolitan Statistical Area)",9851423000,9952170000,239481,251257,100747000,1.04917300328627,1.01022664441472
"354"," Twin Falls"," ID","  West"," RED",11694,6569,14844,8275,5159,2539,2620,1195,632,1562,930,568,158,410,"Twin Falls, ID (Metropolitan Statistical Area)",3602691000,4671994000,99987,110095,1069303000,1.10109314210847,1.29680674806693
"355"," Tyler"," TX","  South"," RED",23026,9252,28191,18939,13822,2131,11691,3002,792,2969,2177,2212,92,2120,"Tyler, TX (Metropolitan Statistical Area)",9296927000,10179462000,210408,229749,882535000,1.09192140983233,1.09492760349737
"356"," Urban Honolulu"," HI","  West"," BLUE",21357,50711,121272,70561,-28785,46111,-74896,-5295,3418,12013,8595,-8691,3736,-12427,"Urban Honolulu, HI (Metropolitan Statistical Area)",53789213000,61095819000,956285,979858,7306606000,1.02465060102375,1.13583775616869
"357"," Utica"," NY","  Northeast"," BLUE",-9339,31,29641,29610,-9340,5250,-14590,-1197,-107,3042,3149,-1090,265,-1355,"Utica-Rome, NY (Metropolitan Statistical Area)",11710696000,11892236000,299226,291187,181540000,0.973134019102618,1.01550206751162
"358"," Valdosta"," GA","  South"," RED",7630,7791,18666,10875,-341,2056,-2397,1149,616,1934,1318,536,127,409,"Valdosta, GA (Metropolitan Statistical Area)",4741080000,5054748000,140054,146143,313668000,1.04347608779471,1.06615960920297
"359"," Vallejo"," CA","  West"," BLUE",34300,18081,47682,29601,16528,6691,9837,1918,1377,5088,3711,557,280,277,"Vallejo, CA (Metropolitan Statistical Area)",18387013000,23303994000,413967,445725,4916981000,1.07671625999174,1.26741597452506
"360"," Victoria"," TX","  South"," RED",5739,4340,12404,8064,1389,546,843,276,350,1247,897,-71,24,-95,"Victoria, TX (Metropolitan Statistical Area)",4481091000,5069679000,94102,99466,588588000,1.05700197657861,1.13134926293619
"361"," Vineland"," NJ","  Northeast"," BLUE",-7100,4541,18338,13797,-11725,3190,-14915,-1108,322,1757,1435,-1435,74,-1509,"Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",5954839000,6051881000,156699,150635,97042000,0.961301603711574,1.01629632639942
"362"," Virginia Beach"," VA","  South"," BLUE",54946,78552,209617,131065,-23410,36319,-59729,5188,6309,21589,15280,-1032,1165,-2197,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area) *",88030767000,89775562000,1717036,1763713,1744795000,1.02718463678106,1.01982028624151
"363"," Visalia"," CA","  West"," BLUE",24013,41985,69462,27477,-17932,-636,-17296,1606,3823,7032,3209,-2230,-270,-1960,"Visalia, CA (Metropolitan Statistical Area)",14190018000,18415098000,442969,464589,4225080000,1.04880702712831,1.29775015084547
"364"," Waco"," TX","  South"," RED",21154,12895,33987,21092,8384,2630,5754,2493,1249,3646,2397,1244,161,1083,"Waco, TX (Metropolitan Statistical Area)",9710032000,12745968000,253808,271427,3035936000,1.06941861564647,1.3126597317084
"365"," Walla Walla"," WA","  West"," BLUE",1979,842,6100,5258,1163,136,1027,145,35,610,575,113,-15,128,"Walla Walla, WA (Metropolitan Statistical Area)",2676299000,3068776000,58915,60615,392477000,1.02885513027243,1.14664915990328
"366"," Warner Robins"," GA","  South"," RED",17783,8835,21567,12732,8970,2828,6142,2523,730,2297,1567,1799,152,1647,"Warner Robins, GA (Metropolitan Statistical Area)",6501259000,6979808000,168508,182886,478549000,1.08532532580056,1.07360866564461
"367"," Washington"," VA"," South"," ",630799,428108,743898,315790,200650,326958,-126308,32646,39384,78147,38763,-6771,22977,-29748,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area) *",429589652000,484792706000,5678491,6247841,55203054000,1.10026431317757,1.12850182434096
"368"," Waterloo"," IA","  Midwest"," RED",703,5008,19377,14369,-4194,2815,-7009,-414,491,2055,1564,-899,211,-1110,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",8365341000,8786794000,167920,168936,421453000,1.00605050023821,1.05038085118108
"369"," Watertown"," NY","  Northeast"," BLUE",-6398,10875,19170,8295,-17420,3033,-20453,-2032,994,1913,919,-3026,-45,-2981,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)",6697552000,5910020000,116592,111866,-787532000,0.959465486482778,0.882414948028772
"370"," Wausau"," WI","  Midwest"," RED",481,3423,17162,13739,-2856,612,-3468,191,337,1744,1407,-142,66,-208,"Wausau-Weston, WI (Metropolitan Statistical Area)",7637869000,9107116000,162829,163094,1469247000,1.00162747422142,1.19236347206269
"371"," Weirton"," WV","  South"," RED",-8381,-5260,10356,15616,-3005,-176,-2829,-908,-580,1079,1659,-322,-50,-272,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",5134274000,6036969000,124329,116982,902695000,0.94090678763603,1.17581745734645
"372"," Wenatchee"," WA","  West"," BLUE",9742,4326,13383,9057,5489,666,4823,1128,381,1393,1012,750,48,702,"Wenatchee, WA (Metropolitan Statistical Area)",4799680000,5978089000,111264,119501,1178409000,1.07403113316077,1.24551824288286
"373"," Wheeling"," WV","  South"," RED",-9009,-4101,13249,17350,-4802,-57,-4745,-1111,-545,1285,1830,-560,-27,-533,"Wheeling, WV-OH (Metropolitan Statistical Area)",6443008000,11897160000,147899,140059,5454152000,0.946990851865124,1.84652261800699
"374"," Wichita"," KS","  Midwest"," RED",17157,29769,81503,51734,-12358,9096,-21454,2699,2325,8057,5732,397,688,-291,"Wichita, KS (Metropolitan Statistical Area)",27680811000,32832296000,623887,637519,5151485000,1.02185011067709,1.18610310947898
"375"," Wichita Falls"," TX","  South"," RED",-220,2932,17382,14450,-3110,3283,-6393,299,101,1730,1629,203,167,36,"Wichita Falls, TX (Metropolitan Statistical Area)",5770448000,6078296000,151649,150955,307848000,0.995423642753991,1.0533490640588
"376"," Williamsport"," PA","  Northeast"," RED",-2803,-325,11394,11719,-2439,602,-3041,-567,-187,1133,1320,-379,65,-444,"Williamsport, PA (Metropolitan Statistical Area)",4717326000,6530249000,116225,113866,1812923000,0.979703161970316,1.38431157821189
"377"," Wilmington"," NC","  South"," RED",42654,4489,26461,21972,37745,1521,36224,3260,254,2844,2590,2996,124,2872,"Wilmington, NC (Metropolitan Statistical Area)",11089957000,13438658000,255699,294273,2348701000,1.15085706240541,1.21178630358982
"378"," Winchester"," VA","  South"," BLUE",12114,3266,14270,11004,8878,1826,7052,1074,221,1492,1271,856,75,781,"Winchester, VA-WV (Metropolitan Statistical Area) *",5652676000,5970463000,128652,139492,317787000,1.08425830923732,1.05621885988159
"379"," Winston"," NC","  South"," RED",35505,10063,68473,58410,25813,4664,21149,4879,729,7271,6542,4166,358,3808,"Winston-Salem, NC (Metropolitan Statistical Area)",29430173000,29528114000,641245,671129,97941000,1.04660309242177,1.00332791112033
"380"," Worcester"," MA","  Northeast"," BLUE",30641,16269,90296,74027,14793,36326,-21533,1291,1162,9575,8413,145,2272,-2127,"Worcester, MA-CT (Metropolitan Statistical Area)",39893027000,45393131000,918935,946113,5500104000,1.02957554125156,1.13787131269833
"381"," Yakima"," WA","  West"," BLUE",7633,19134,37137,18003,-11510,-269,-11241,311,1653,3746,2093,-1340,-137,-1203,"Yakima, WA (Metropolitan Statistical Area)",8665802000,9883248000,244256,250562,1217446000,1.02581717542251,1.14048855489659
"382"," York"," PA","  Northeast"," RED",14043,8584,45524,36940,5907,5255,652,1211,747,4868,4121,491,200,291,"York-Hanover, PA (Metropolitan Statistical Area)",18037377000,18675558000,435413,447847,638181000,1.0285567955022,1.03538103128853
"383"," Youngstown"," OH","  Midwest"," RED",-29701,-12813,51745,64558,-16642,2675,-19317,-2145,-1392,5450,6842,-726,25,-751,"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)",19634198000,20089962000,564826,538226,455764000,0.952905850651351,1.02321276377064
"384"," Yuba City"," CA","  West"," BLUE",8741,10299,23119,12820,-1566,2723,-4289,1734,999,2416,1417,737,100,637,"Yuba City, CA (Metropolitan Statistical Area)",6191460000,6506948000,167099,173905,315488000,1.04073034548382,1.05095534817313
"385"," Yuma"," AZ","  West"," RED",18037,14964,28472,13508,2839,7552,-4713,2175,1278,2991,1713,903,546,357,"Yuma, AZ (Metropolitan Statistical Area)",6626379000,7874389000,197127,211612,1248010000,1.07348054807307,1.18833966484561
"386"," Aberdeen"," SD","  Midwest"," RED",2065,1199,5041,3842,866,928,-62,-343,143,537,394,-485,21,-506,NA,0,0,0,0,0,NA,NA
"387"," Aberdeen"," WA","  West"," BLUE",2261,-504,7159,7663,2757,51,2706,1260,-152,734,886,1407,-16,1423,NA,0,0,0,0,0,NA,NA
"388"," Ada"," OK","  South"," RED",796,849,4921,4072,-24,397,-421,12,-22,487,509,36,42,-6,NA,0,0,0,0,0,NA,NA
"389"," Adrian"," MI","  Midwest"," RED",-1448,216,9501,9285,-1653,365,-2018,310,-55,952,1007,372,5,367,NA,0,0,0,0,0,NA,NA
"390"," Alamogordo"," NM","  West"," BLUE",3658,2995,8450,5455,585,3739,-3154,831,319,934,615,513,263,250,NA,0,0,0,0,0,NA,NA
"391"," Albemarle"," NC","  South"," RED",2220,-3,6276,6279,2274,172,2102,626,-6,709,715,633,10,623,NA,0,0,0,0,0,NA,NA
"392"," Albert Lea"," MN","  Midwest"," BLUE",-973,-239,3115,3354,-723,228,-951,-199,-38,314,352,-162,25,-187,NA,0,0,0,0,0,NA,NA
"393"," Albertville"," AL","  South"," RED",3755,2099,12326,10227,1750,818,932,604,240,1395,1155,368,65,303,NA,0,0,0,0,0,NA,NA
"394"," Alexander City"," AL","  South"," RED",-2344,-1177,5001,6178,-1149,91,-1240,-148,-182,474,656,39,15,24,NA,0,0,0,0,0,NA,NA
"395"," Alexandria"," MN","  Midwest"," BLUE",2130,78,3848,3770,2080,51,2029,181,-6,424,430,189,2,187,NA,0,0,0,0,0,NA,NA
"396"," Alice"," TX","  South"," RED",-981,2292,7203,4911,-3303,420,-3723,-264,121,652,531,-386,46,-432,NA,0,0,0,0,0,NA,NA
"397"," Alma"," MI","  Midwest"," RED",-1767,-354,3694,4048,-1415,115,-1530,109,-57,366,423,167,7,160,NA,0,0,0,0,0,NA,NA
"398"," Alpena"," MI","  Midwest"," RED",-1189,-912,2494,3406,-250,65,-315,21,-62,280,342,84,8,76,NA,0,0,0,0,0,NA,NA
"399"," Altus"," OK","  South"," RED",-1916,1458,3813,2355,-3412,659,-4071,-245,144,359,215,-389,45,-434,NA,0,0,0,0,0,NA,NA
"400"," Americus"," GA","  South"," RED",-3047,520,4115,3595,-3609,260,-3869,-245,46,423,377,-294,39,-333,NA,0,0,0,0,0,NA,NA
"401"," Amsterdam"," NY","  Northeast"," BLUE",-1043,211,5537,5326,-1243,1067,-2310,-173,80,613,533,-253,14,-267,NA,0,0,0,0,0,NA,NA
"402"," Andrews"," TX","  South"," RED",3919,1488,2782,1294,2381,190,2191,694,97,286,189,597,14,583,NA,0,0,0,0,0,NA,NA
"403"," Angola"," IN","  Midwest"," RED",447,494,3433,2939,-15,83,-98,107,-12,336,348,121,15,106,NA,0,0,0,0,0,NA,NA
"404"," Arcadia"," FL","  South"," RED",3139,567,3546,2979,2581,1484,1097,633,27,389,362,604,154,450,NA,0,0,0,0,0,NA,NA
"405"," Ardmore"," OK","  South"," RED",1219,561,7220,6659,691,242,449,-5,17,743,726,-20,10,-30,NA,0,0,0,0,0,NA,NA
"406"," Arkadelphia"," AR","  South"," RED",-671,-109,2210,2319,-564,100,-664,7,-8,233,241,16,2,14,NA,0,0,0,0,0,NA,NA
"407"," Ashland"," OH","  Midwest"," RED",344,473,5636,5163,-119,759,-878,-222,6,586,580,-229,56,-285,NA,0,0,0,0,0,NA,NA
"408"," Ashtabula"," OH","  Midwest"," RED",-4248,-515,10325,10840,-3730,598,-4328,-346,-32,1111,1143,-313,-6,-307,NA,0,0,0,0,0,NA,NA
"409"," Astoria"," OR","  West"," BLUE",3198,153,3788,3635,3034,107,2927,513,-21,377,398,530,-12,542,NA,0,0,0,0,0,NA,NA
"410"," Atchison"," KS","  Midwest"," RED",-848,143,1809,1666,-996,-15,-981,-100,-8,162,170,-92,-2,-90,NA,0,0,0,0,0,NA,NA
"411"," Athens"," OH","  Midwest"," RED",563,406,4894,4488,52,2277,-2225,-192,-17,477,494,-177,128,-305,NA,0,0,0,0,0,NA,NA
"412"," Athens"," TN","  South"," RED",1507,-827,5308,6135,2373,554,1819,458,-65,591,656,526,73,453,NA,0,0,0,0,0,NA,NA
"413"," Athens"," TX","  South"," RED",4159,-1376,8297,9673,5569,241,5328,634,-211,894,1105,845,9,836,NA,0,0,0,0,0,NA,NA
"414"," Atmore"," AL","  South"," RED",-1687,-234,4108,4342,-1439,-2,-1437,109,-54,420,474,165,-1,166,NA,0,0,0,0,0,NA,NA
"415"," Auburn"," IN","  Midwest"," RED",1220,1104,4850,3746,141,-42,183,267,102,508,406,167,-9,176,NA,0,0,0,0,0,NA,NA
"416"," Auburn"," NY","  Northeast"," BLUE",-3432,184,7159,6975,-3610,458,-4068,-545,30,741,711,-576,26,-602,NA,0,0,0,0,0,NA,NA
"417"," Augusta"," ME","  Northeast"," BLUE",148,-1372,10840,12212,1623,543,1080,258,-277,1113,1390,540,40,500,NA,0,0,0,0,0,NA,NA
"418"," Austin"," MN","  Midwest"," BLUE",895,1151,4726,3575,-236,1171,-1407,-80,165,535,370,-246,126,-372,NA,0,0,0,0,0,NA,NA
"419"," Bainbridge"," GA","  South"," RED",-1438,483,3399,2916,-1929,-59,-1870,-169,30,361,331,-198,-4,-194,NA,0,0,0,0,0,NA,NA
"420"," Baraboo"," WI","  Midwest"," RED",2487,1410,7050,5640,1141,557,584,124,122,728,606,5,19,-14,NA,0,0,0,0,0,NA,NA
"421"," Bardstown"," KY","  South"," RED",2792,1701,5337,3636,1114,-39,1153,420,133,552,419,287,-7,294,NA,0,0,0,0,0,NA,NA
"422"," Barre"," VT","  Northeast"," BLUE",-1115,243,5218,4975,-1334,85,-1419,330,0,534,534,329,-9,338,NA,0,0,0,0,0,NA,NA
"423"," Bartlesville"," OK","  South"," RED",548,65,5824,5759,523,823,-300,-264,-91,586,677,-172,83,-255,NA,0,0,0,0,0,NA,NA
"424"," Batavia"," NY","  Northeast"," BLUE",-2654,-311,5414,5725,-2342,222,-2564,-207,-88,542,630,-118,2,-120,NA,0,0,0,0,0,NA,NA
"425"," Batesville"," AR","  South"," RED",1363,-222,6086,6308,1606,177,1429,209,36,706,670,177,-5,182,NA,0,0,0,0,0,NA,NA
"426"," Bay City"," TX","  South"," RED",-59,1454,4938,3484,-1508,85,-1593,77,149,520,371,-72,7,-79,NA,0,0,0,0,0,NA,NA
"427"," Beatrice"," NE","  Midwest"," RED",-798,-335,2204,2539,-459,-1,-458,18,-27,228,255,47,1,46,NA,0,0,0,0,0,NA,NA
"428"," Beaver Dam"," WI","  Midwest"," RED",-911,-659,7569,8228,-187,225,-412,6,-103,771,874,112,22,90,NA,0,0,0,0,0,NA,NA
"429"," Bedford"," IN","  Midwest"," RED",-759,-660,4446,5106,-52,105,-157,-260,-98,465,563,-159,5,-164,NA,0,0,0,0,0,NA,NA
"430"," Beeville"," TX","  South"," RED",704,1029,3385,2356,-320,32,-352,98,84,318,234,13,-5,18,NA,0,0,0,0,0,NA,NA
"431"," Bellefontaine"," OH","  Midwest"," RED",-176,541,5041,4500,-694,89,-783,340,51,547,496,292,-2,294,NA,0,0,0,0,0,NA,NA
"432"," Bemidji"," MN","  Midwest"," BLUE",2745,2505,6316,3811,267,361,-94,453,205,638,433,248,29,219,NA,0,0,0,0,0,NA,NA
"433"," Bennettsville"," SC","  South"," RED",-2817,-386,2747,3133,-2440,42,-2482,-274,-40,270,310,-233,1,-234,NA,0,0,0,0,0,NA,NA
"434"," Bennington"," VT","  Northeast"," BLUE",-1649,-1029,3103,4132,-601,210,-811,-50,-124,323,447,75,15,60,NA,0,0,0,0,0,NA,NA
"435"," Berlin"," NH","  Northeast"," BLUE",-1489,-1728,2274,4002,187,39,148,77,-194,225,419,272,-2,274,NA,0,0,0,0,0,NA,NA
"436"," Big Rapids"," MI","  Midwest"," RED",655,351,3873,3522,319,430,-111,53,39,396,357,15,19,-4,NA,0,0,0,0,0,NA,NA
"437"," Big Spring"," TX","  South"," RED",1652,660,4210,3550,961,838,123,739,89,438,349,649,81,568,NA,0,0,0,0,0,NA,NA
"438"," Big Stone Gap"," VA","  South"," BLUE",-4066,-809,4176,4985,-3295,107,-3402,-483,-150,375,525,-332,0,-332,NA,0,0,0,0,0,NA,NA
"439"," Blackfoot"," ID","  West"," RED",1206,3146,6429,3283,-1975,131,-2106,682,216,593,377,469,8,461,NA,0,0,0,0,0,NA,NA
"440"," Bluefield"," WV","  South"," RED",-8514,-3521,11117,14638,-4943,105,-5048,-930,-483,1108,1591,-443,-20,-423,NA,0,0,0,0,0,NA,NA
"441"," Blytheville"," AR","  South"," RED",-5830,1199,5904,4705,-7097,-25,-7072,-585,82,580,498,-671,-19,-652,NA,0,0,0,0,0,NA,NA
"442"," Bogalusa"," LA","  South"," RED",-946,86,5489,5403,-1009,-116,-893,-394,-35,600,635,-357,-16,-341,NA,0,0,0,0,0,NA,NA
"443"," Bonham"," TX","  South"," RED",1604,-791,3105,3896,2427,329,2098,329,-116,321,437,446,41,405,NA,0,0,0,0,0,NA,NA
"444"," Boone"," NC","  South"," RED",5116,167,3356,3189,4911,253,4658,143,-20,381,401,164,43,121,NA,0,0,0,0,0,NA,NA
"445"," Borger"," TX","  South"," RED",-1313,470,2677,2207,-1790,82,-1872,-181,41,256,215,-224,2,-226,NA,0,0,0,0,0,NA,NA
"446"," Bozeman"," MT","  West"," RED",24919,5836,10887,5051,18837,1465,17372,2752,650,1262,612,2084,111,1973,NA,0,0,0,0,0,NA,NA
"447"," Bradford"," PA","  Northeast"," RED",-2836,-936,3863,4799,-1881,67,-1948,-325,-140,367,507,-184,1,-185,NA,0,0,0,0,0,NA,NA
"448"," Brainerd"," MN","  Midwest"," BLUE",3757,524,9523,8999,3298,251,3047,529,-84,932,1016,611,13,598,NA,0,0,0,0,0,NA,NA
"449"," Branson"," MO","  Midwest"," RED",4256,677,5806,5129,3587,238,3349,209,60,615,555,152,7,145,NA,0,0,0,0,0,NA,NA
"450"," Breckenridge"," CO","  West"," BLUE",3017,2028,2591,563,951,1029,-78,194,197,266,69,-4,101,-105,NA,0,0,0,0,0,NA,NA
"451"," Brenham"," TX","  South"," RED",2183,197,3691,3494,1999,285,1714,386,-19,364,383,407,-2,409,NA,0,0,0,0,0,NA,NA
"452"," Brevard"," NC","  South"," RED",1296,-1267,2460,3727,2570,-12,2582,212,-133,261,394,346,-3,349,NA,0,0,0,0,0,NA,NA
"453"," Brookhaven"," MS","  South"," RED",-713,266,4065,3799,-960,80,-1040,-57,10,413,403,-65,6,-71,NA,0,0,0,0,0,NA,NA
"454"," Brookings"," OR","  West"," BLUE",561,-1759,1631,3390,2311,-188,2499,130,-179,166,345,308,-24,332,NA,0,0,0,0,0,NA,NA
"455"," Brookings"," SD","  Midwest"," RED",3111,2093,3890,1797,1021,1407,-386,0,239,443,204,-241,69,-310,NA,0,0,0,0,0,NA,NA
"456"," Brownsville"," TN","  South"," RED",-1503,87,1951,1864,-1598,19,-1617,-43,-44,189,233,1,-1,2,NA,0,0,0,0,0,NA,NA
"457"," Brownwood"," TX","  South"," RED",-242,-684,3809,4493,469,211,258,44,-58,382,440,104,13,91,NA,0,0,0,0,0,NA,NA
"458"," Bucyrus"," OH","  Midwest"," RED",-2289,-614,4390,5004,-1664,144,-1808,10,-43,455,498,54,13,41,NA,0,0,0,0,0,NA,NA
"459"," Burley"," ID","  West"," RED",2050,3090,6509,3419,-1047,379,-1426,559,335,699,364,225,6,219,NA,0,0,0,0,0,NA,NA
"460"," Burlington"," IA","  Midwest"," RED",-2040,-210,4823,5033,-1820,169,-1989,-233,-29,500,529,-202,-11,-191,NA,0,0,0,0,0,NA,NA
"461"," Butte"," MT","  West"," RED",706,-233,3603,3836,960,673,287,176,-55,364,419,232,51,181,NA,0,0,0,0,0,NA,NA
"462"," Cadillac"," MI","  Midwest"," RED",1163,575,5336,4761,613,182,431,202,50,551,501,153,11,142,NA,0,0,0,0,0,NA,NA
"463"," Calhoun"," GA","  South"," RED",2742,1712,6410,4698,1061,327,734,335,98,669,571,240,23,217,NA,0,0,0,0,0,NA,NA
"464"," Cambridge"," MD","  South"," BLUE",-694,-125,3420,3545,-548,332,-880,-31,-55,340,395,27,8,19,NA,0,0,0,0,0,NA,NA
"465"," Cambridge"," OH","  Midwest"," RED",-1217,-36,4201,4237,-1158,53,-1211,-136,-36,426,462,-98,-1,-97,NA,0,0,0,0,0,NA,NA
"466"," Camden"," AR","  South"," RED",-2925,-818,3027,3845,-2113,38,-2151,-276,-98,288,386,-176,-1,-175,NA,0,0,0,0,0,NA,NA
"467"," Campbellsville"," KY","  South"," RED",944,106,4101,3995,838,331,507,198,-8,431,439,208,7,201,NA,0,0,0,0,0,NA,NA
"468"," on City"," CO","  West"," BLUE",1011,-1565,3471,5036,2558,108,2450,-120,-183,381,564,65,-5,70,NA,0,0,0,0,0,NA,NA
"469"," Carlsbad"," NM","  West"," BLUE",4632,2483,7638,5155,2121,569,1552,731,255,805,550,475,47,428,NA,0,0,0,0,0,NA,NA
"470"," Carroll"," IA","  Midwest"," RED",-651,148,2376,2228,-801,59,-860,12,13,237,224,-1,7,-8,NA,0,0,0,0,0,NA,NA
"471"," Cedar City"," UT","  West"," RED",8676,4979,7802,2823,3667,-130,3797,2161,507,830,323,1645,-30,1675,NA,0,0,0,0,0,NA,NA
"472"," Cedartown"," GA","  South"," RED",1118,847,5233,4386,276,164,112,267,91,580,489,176,-5,181,NA,0,0,0,0,0,NA,NA
"473"," Celina"," OH","  Midwest"," RED",356,1615,5384,3769,-1250,104,-1354,220,259,644,385,-37,7,-44,NA,0,0,0,0,0,NA,NA
"474"," Central City"," KY","  South"," RED",-877,-318,3199,3517,-550,-13,-537,-189,-54,340,394,-135,-2,-133,NA,0,0,0,0,0,NA,NA
"475"," Centralia"," IL","  Midwest"," BLUE",-2232,-316,4502,4818,-1907,118,-2025,-176,-10,451,461,-166,10,-176,NA,0,0,0,0,0,NA,NA
"476"," Centralia"," WA","  West"," BLUE",5250,292,8271,7979,4965,589,4376,1138,-15,895,910,1152,65,1087,NA,0,0,0,0,0,NA,NA
"477"," Charleston"," IL","  Midwest"," BLUE",-3534,-14,5745,5759,-3543,568,-4111,-246,-38,571,609,-207,51,-258,NA,0,0,0,0,0,NA,NA
"478"," Chillicothe"," OH","  Midwest"," RED",-1410,130,7792,7662,-1504,166,-1670,-218,-5,844,849,-211,9,-220,NA,0,0,0,0,0,NA,NA
"479"," Clarksburg"," WV","  South"," RED",-1787,-1300,9279,10579,-434,6,-440,-479,-277,887,1164,-195,-10,-185,NA,0,0,0,0,0,NA,NA
"480"," Clarksdale"," MS","  South"," RED",-4021,1015,3790,2775,-5081,-31,-5050,-481,73,355,282,-555,-7,-548,NA,0,0,0,0,0,NA,NA
"481"," Clearlake"," CA","  West"," BLUE",-276,-969,6824,7793,732,-169,901,69,-117,731,848,189,-26,215,NA,0,0,0,0,0,NA,NA
