"","City","State","Region","Political_Leaning","Population_Change_Decade","Natural_Increase_Decade","Births_Decade","Deaths_Decade","Total_Decade","International_Decade","Domestic_Decade","Population_Change_Annual","Natural_Increase_Annual","Births_Annual","Deaths_Annual","Total._Annual","International_Annual","Domestic_Annual","City_data","GDP_2010","GDP_2018","Population_2010","Population_2018","Decade_GDP_Change","Population_Percent_Change","GDP_Percent_Change"
"184"," Killeen"," TX","  South"," RED",54995,43397,68686,25289,11142,13598,-2456,9031,4057,7039,2982,4937,125,4812,"Killeen-Temple, TX (Metropolitan Statistical Area)",16242831000,16837964000,408262,451272,595133000,1.10534901607301,1.03663973355384
"185"," Kingsport"," TN","  South"," RED",-2291,-9185,26943,36128,7135,-122,7257,466,-1151,2776,3927,1627,-19,1646,"Kingsport-Bristol, TN-VA (Metropolitan Statistical Area) *",11695114000,12037030000,309480,306736,341916000,0.991133514282021,1.02923579881308
"186"," Kingston"," NY","  Northeast"," BLUE",-4946,-1139,14405,15544,-3751,2456,-6207,-845,-310,1433,1743,-529,148,-677,"Kingston, NY (Metropolitan Statistical Area)",6096100000,6237082000,182418,178418,140982000,0.978072339352476,1.02312658913076
"187"," Knoxville"," TN","  South"," RED",54021,1643,84244,82601,52546,7094,45452,7812,-260,8995,9255,8067,985,7082,"Knoxville, TN (Metropolitan Statistical Area)",33420711000,38756940000,815984,861234,5336229000,1.05545451871605,1.15966832662537
"188"," Kokomo"," IN","  Midwest"," RED",-204,153,9085,8932,-290,341,-631,287,-4,946,950,298,37,261,"Kokomo, IN (Metropolitan Statistical Area)",4078017000,5253267000,82752,82257,1175250000,0.994018271461717,1.28819154015297
"189"," La Crosse"," WI","  Midwest"," RED",2958,2447,13220,10773,572,341,231,3,171,1364,1193,-160,-11,-149,"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",6158086000,6993246000,133897,136613,835160000,1.02028424834014,1.13562006116836
"190"," Lafayette"," LA","  South"," RED",22474,23870,62244,38374,-1317,4234,-5551,-473,1726,6331,4605,-2196,222,-2418,"Lafayette, LA (Metropolitan Statistical Area)",22495876000,21388685000,467612,489680,-1107191000,1.0471929719511,0.950782490088406
"191"," Lafayette"," IN","  Midwest"," RED",22692,10837,24792,13955,11914,15527,-3613,2064,1057,2617,1560,999,2091,-1092,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",8451301000,9727016000,210687,230938,1275715000,1.0961188872593,1.15094894857017
"192"," Lake Charles"," LA","  South"," RED",10769,7932,26736,18804,2976,1153,1823,219,867,2983,2116,-647,54,-701,"Lake Charles, LA (Metropolitan Statistical Area)",12870281000,16334545000,199943,210190,3464264000,1.05124960613775,1.26916770504078
"193"," Lake Havasu City"," AZ","  West"," RED",11999,-9685,16886,26571,21585,-1496,23081,2889,-1623,1752,3375,4478,-246,4724,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",4620074000,5068013000,200314,209292,447939000,1.04481963317591,1.09695494054857
"194"," Lakeland"," FL","  South"," RED",122704,9786,69821,60035,112597,23260,89337,18180,806,8043,7237,17311,673,16638,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",19958101000,22483500000,603102,706597,2525399000,1.17160447154876,1.12653503457067
"195"," Lancaster"," PA","  Northeast"," RED",26281,20139,65415,45276,6589,11759,-5170,1755,1972,7132,5160,-205,647,-852,"Lancaster, PA (Metropolitan Statistical Area)",23225493000,26442386000,520319,543969,3216893000,1.04545288563362,1.13850698454496
